term,counts
coronavirus,32761713
covid19,11530088
covid,11283557
19,10846750
nan,4862753
people,3293486
via,2874824
amp,2816214
trump,2560935
china,2522572
pandemic,2414918
virus,2350096
us,2316170
new,2309757
cases,2263353
news,1780601
like,1660440
get,1632226
one,1492622
health,1448698
di,1379773
time,1374393
world,1368942
si,1333739
wuhan,1325365
help,1239925
crisis,1232889
deaths,1222418
il,1208041
home,1193579
need,1174541
lockdown,1164529
000,1155600
know,1097591
would,1076017
et,1061773
realdonaldtrump,1060408
2020,1048789
corona,1033154
please,1029750
outbreak,1021562
could,971060
covid_19,958859
death,948273
due,945392
des,941420
may,926779
go,922687
da,912978
first,911197
see,908141
spread,906211
government,905673
says,889619
stay,880095
casos,869720
du,869502
day,863096
good,862618
na,859265
going,854562
die,852074
test,850360
per,843364
est,837241
positive,836275
work,833973
many,823524
take,821495
still,799490
even,794068
today,790610
state,770144
think,748545
country,744262
make,723937
patients,714583
testing,713264
live,704756
pour,704638
response,702255
back,700249
uk,695043
right,694446
hospital,689218
10,686522
stop,671830
care,671137
let,667360
social,665390
also,661393
re,659733
well,658300
total,654514
support,652442
said,646748
fight,645609
say,634581
president,631615
way,617425
want,613316
really,612223
covidー19,610801
the,603741
read,602343
youtube,593027
chinese,591230
global,588342
non,587219
india,585438
workers,584207
public,576125
case,572252
pas,569691
confirmed,569428
much,568429
tests,558076
times,557476
days,554616
keep,554369
come,552259
got,550782
amid,547262
video,544238
pandemia,543150
latest,541725
great,532742
everyone,529645
last,521778
quarantine,521261
man,512401
flu,510843
20,510678
every,509755
must,507764
safe,506558
update,505383
dan,500817
media,496555
tested,496189
medical,493622
life,491804
au,491675
daily,490379
dr,487489
business,484994
real,484811
two,483107
year,481930
vía,476280
em,474288
gt,472190
thank,470767
number,470192
com,468502
une,468314
face,465287
week,460559
italy,459294
vaccine,456406
hope,455873
economy,446485
free,446417
americans,446415
use,441006
america,440153
look,438945
states,437257
che,433838
não,432296
made,431490
thanks,431263
va,429571
gobierno,428491
sur,424743
million,424633
getting,424552
working,421438
qui,421027
infected,420874
true,419932
money,419374
usa,419349
data,418599
risk,417873
around,416961
lives,415266
mundo,414335
salud,414149
twitter,413969
family,412539
mais,410715
died,410658
never,409933
god,409129
100,407661
24,403936
30,403693
ser,402863
york,402065
post,401164
coronaviruspandemic,400183
next,399878
better,396522
updates,395752
countries,394622
another,393599
april,393237
gente,392207
país,392116
dans,390563
eu,390309
house,389104
watch,387863
since,387445
weeks,387366
to,385539
ne,384671
casa,383119
ca,382744
masks,379128
thing,378008
disease,377924
best,375195
call,373869
give,373706
plus,373508
cuarentena,373191
already,373105
sa,372785
end,370841
check,364738
covid2019,363991
emergency,362783
information,359576
15,357311
long,357158
symptoms,355950
impact,353484
je,353210
plan,352260
personas,351344
ce,350435
love,349875
online,347114
food,345772
app,345528
open,342786
toll,342542
stayhome,341369
city,340014
ve,339962
show,339823
without,339511
doctors,337693
france,337377
anyone,333707
report,333453
11,332062
yet,331059
big,328563
put,328162
needs,327682
things,327622
protect,327390
done,327232
rate,326996
far,326915
community,323810
travel,323782
12,323712
away,323519
staff,323218
caso,320998
bill,320877
situation,320565
in,320003
person,318952
solo,318380
find,318027
reported,317157
ahora,316341
job,315939
sure,315610
distancing,315170
italia,313454
someone,313344
article,313119
breaking,311883
part,310927
coronavirusoutbreak,310855
numbers,309844
sick,309757
march,309754
taking,308268
old,307332
14,307178
yang,306233
something,306220
par,306127
españa,305874
trying,305868
der,305861
years,305564
cnn,304518
important,303905
might,302700
um,302591
self,302328
shit,301994
medidas,301329
bad,301245
reports,299470
american,298659
van,298650
rt,298481
top,297896
start,297352
believe,295888
south,295570
hoy,294897
making,293250
vous,293083
pm,293011
control,292910
hit,292110
national,291619
together,290979
mask,289847
cdc,289665
nothing,289324
using,287823
bien,287569
change,286848
coming,286661
dos,285447
story,284158
pay,283535
place,283426
doctor,283151
county,282653
hospitals,281966
tell,279505
share,279144
enough,279028
others,278949
así,278903
economic,276524
50,276520
high,275817
local,275133
mas,274285
relief,273790
human,272076
officials,270964
ever,270507
hands,270402
yes,269883
and,269204
cause,268930
white,268878
día,266176
save,265843
follow,265214
govt,265205
healthcare,264606
oh,264092
treatment,263493
nhs,262617
full,262257
spreading,261825
fuck,261288
novel,260269
und,259993
months,259290
saying,259188
team,259175
order,257858
close,257312
measures,257128
sign,255005
ai,254971
dead,254164
businesses,254065
fake,252569
soon,252366
das,250828
everything,249568
lot,249492
feel,249216
puede,249103
2019,247949
presidente,247748
bbc,247386
cure,247177
point,245437
possible,244440
hard,243984
experts,243796
qu,242874
infection,242816
muertos,242799
across,242658
least,242454
contact,242380
patient,242231
system,241901
always,241144
de,241038
hacer,240999
actually,240830
market,240503
school,238592
untuk,237473
iran,236510
coronavírus,235217
continue,234586
nous,234172
maybe,233146
link,232989
ver,232607
info,231615
it,231420
month,231291
children,230699
